,48.000,1403.000
5.837,48.000,1416.000
5.844,48.000,1415.000
5.852,48.000,1415.000
5.860,48.000,1414.000
5.866,48.000,1414.000
5.874,48.000,1413.000
5.880,48.000,1415.000
5.886,48.000,1413.000
5.894,48.000,1413.000
5.900,48.000,1414.000
5.906,48.000,1411.000
5.913,48.000,1412.000
5.920,48.000,1413.000
5.926,48.000,1412.000
5.932,48.000,1412.000
5.938,48.000,1411.000
5.944,48.000,1413.000
5.952,48.000,1412.000
5.958,48.000,1412.000
5.966,48.000,1411.000
5.972,48.000,1411.000
5.979,48.000,1410.000
5.986,48.000,1411.000
5.993,48.000,1410.000
5.999,48.000,1409.000
6.006,48.000,1408.000
6.013,48.000,1407.000
6.019,48.000,1407.000
6.025,48.000,1408.000
6.033,48.000,1408.000
6.039,48.000,1409.000
6.047,48.000,1408.000
6.053,48.000,1409.000
6.061,48.000,1407.000
6.067,48.000,1406.000
6.075,48.000,1408.000
6.081,48.000,1406.000
6.088,48.000,1406.000
6.096,48.000,1405.000
6.104,48.000,1406.000
6.111,48.000,1406.000
6.119,48.000,1405.000
6.127,48.000,1405.000
6.136,48.000,1405.000
6.144,48.000,1405.000
6.151,48.000,1404.000
6.160,48.000,1405.000
6.168,48.000,1404.000
6.176,48.000,1404.000
6.185,48.000,1402.000
6.193,48.000,1404.000
6.200,48.000,1403.000
6.208,48.000,1403.000
6.214,48.000,1402.000
6.222,48.000,1402.000
6.228,48.000,1403.000
6.234,48.000,1402.000
6.240,48.000,1402.000
6.245,48.000,1402.000
6.251,48.000,1403.000
6.256,48.000,1401.000
6.260,48.000,1402.000
6.266,48.000,1401.000
6.271,48.000,1402.000
6.274,48.000,1401.000
6.279,48.000,1402.000
0.002,48.000,1401.000
0.006,48.000,1402.000
0.011,48.000,1400.000
0.015,48.000,1402.000
0.020,48.000,1402.000
0.026,48.000,1402.000
0.031,48.000,1401.000
0.037,48.000,1402.000
0.043,48.000,1400.000
0.049,48.000,1402.000
0.055,48.000,1402.000
0.060,48.000,1401.000
0.067,48.000,1398.000
0.074,48.000,1401.000
0.080,48.000,1400.000
0.086,48.000,1400.000
0.092,48.000,1400.000
0.100,48.000,1400.000
0.106,48.000,1400.000
0.112,48.000,1400.000
0.118,48.000,1399.000
0.126,48.000,1399.000
0.132,48.000,1400.000
0.138,48.000,1400.000
0.144,48.000,1399.000
0.150,48.000,1399.000
0.158,48.000,1400.000
0.164,48.000,1400.000
0.172,48.000,1399.000
0.179,48.000,1400.000
0.187,48.000,1399.000
0.195,48.000,1400.000
0.204,48.000,1400.000
0.212,48.000,1400.000
0.219,48.000,1400.000
0.229,48.000,1400.000
0.236,48.000,1400.000
0.245,48.000,1399.000
0.253,48.000,1400.000
0.262,48.000,1400.000
0.270,48.000,1398.000
0.279,48.000,1399.000
0.287,48.000,1400.000
0.296,48.000,1400.000
0.304,48.000,1399.000
0.313,48.000,1400.000
0.321,48.000,1401.000
0.328,48.000,1399.000
0.337,48.000,1401.000
0.344,48.000,1399.000
0.351,48.000,1399.000
0.359,48.000,1400.000
0.367,48.000,1400.000
0.373,48.000,1399.000
0.380,48.000,1400.000
0.387,48.000,1400.000
0.393,48.000,1400.000
0.399,48.000,1401.000
0.405,48.000,1400.000
0.410,48.000,1400.000
0.416,48.000,1399.000
0.420,48.000,1400.000
0.425,48.000,1401.000
0.430,48.000,1401.000
0.433,48.000,1400.000
