.000,23644.000
31396.000,0.000,31144.000
31213.000,0.000,30920.000
32181.000,0.000,31288.000
32606.000,0.000,29875.000
32634.000,0.000,29054.000
35790.000,0.000,32310.000
38796.000,0.000,32594.000
39169.000,0.000,32693.000
38252.000,0.000,38192.000
39511.000,0.000,39915.000
37830.000,0.000,38839.000
32407.000,0.000,37771.000
32096.000,0.000,38046.000
32103.000,0.000,36259.000
29828.000,0.000,32342.000
29095.000,0.000,32106.000
30628.000,0.000,32148.000
31561.000,0.000,31383.000
31104.000,0.000,30789.000
32015.000,0.000,31680.000
32513.000,0.000,30601.000
32657.000,0.000,29322.000
33922.000,0.000,30757.000
37697.000,0.000,32520.000
39400.000,0.000,32635.000
38313.000,0.000,35134.000
38880.000,0.000,39136.000
38637.000,0.000,39133.000
33783.000,0.000,37420.000
32163.000,0.000,37898.000
32181.000,0.000,37267.000
30644.000,0.000,33150.000
29416.000,0.000,32153.000
29812.000,0.000,32127.000
31635.000,0.000,31756.000
31265.000,0.000,31018.000
31433.000,0.000,31170.000
32325.000,0.000,31095.000
32606.000,0.000,29478.000
32743.000,0.000,29321.000
36524.000,0.000,32411.000
38924.000,0.000,32599.000
38874.000,0.000,33303.000
38424.000,0.000,38567.000
39179.000,0.000,39658.000
36482.000,0.000,38270.000
32255.000,0.000,38039.000
32097.000,0.000,37918.000
31945.000,0.000,35135.000
29648.000,0.000,32217.000
29230.000,0.000,32118.000
31211.000,0.000,31972.000
31465.000,0.000,31183.000
30989.000,0.000,30657.000
32115.000,0.000,31523.000
32537.000,0.000,30275.000
32598.000,0.000,29154.000
35075.000,0.000,31698.000
38258.000,0.000,32574.000
39348.000,0.000,32682.000
38219.000,0.000,36889.000
39322.000,0.000,39722.000
38393.000,0.000,38961.000
32552.000,0.000,37435.000
32115.000,0.000,38157.000
32149.000,0.000,36734.000
29979.000,0.000,32528.000
29090.000,0.000,32158.000
30057.000,0.000,32119.000
31595.000,0.000,31572.000
31162.000,0.000,30781.000
31755.000,0.000,31387.000
32458.000,0.000,30809.000
32566.000,0.000,29331.000
33230.000,0.000,30093.000
37252.000,0.000,32479.000
39274.000,0.000,32572.000
